Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Beograd,296,ChatGPT,31.75,0.0222,0.4,0.1887,0.0392,0.1509,0.7239
Beograd,296,Gemini,37.3529,0.0194,0.3529,0.28,0.0833,0.24,0.7257
Beograd,296,Claude,35.2778,0.0139,0.2222,0.16,0.0417,0.12,0.6657
Beograd,297,Ekstraktivna,7.3514,0.097,0.2703,0.1791,0.0,0.1194,0.6972
Beograd,297,Apstraktivna,11.3333,0.0121,0.0,1.0,1.0,1.0,1.0
Beograd,297,ChatGPT,13.6,0.0182,0.2,0.28,0.0,0.28,0.7689
Beograd,297,Gemini,18.1333,0.0061,0.0,0.3478,0.1818,0.3043,0.7455
Beograd,297,Claude,17.0,0.0,0.0,0.1667,0.0,0.125,0.6676
Beograd,298,Ekstraktivna,5.875,0.1626,0.4,0.2759,0.1176,0.2069,0.7027
Beograd,298,Apstraktivna,8.3929,0.065,0.3571,1.0,1.0,1.0,1.0
Beograd,298,ChatGPT,12.3684,0.065,0.4211,0.3448,0.1786,0.3448,0.786
Beograd,298,Gemini,15.6667,0.0244,0.2667,0.12,0.0,0.12,0.6694
Beograd,298,Claude,14.6875,0.0407,0.0,0.1961,0.0,0.0784,0.6999
Beograd,299,Ekstraktivna,11.5778,0.0578,0.1333,0.2025,0.0779,0.1266,0.6635
Beograd,299,Apstraktivna,20.0385,0.0136,0.0769,1.0,1.0,1.0,1.0
Beograd,299,ChatGPT,26.05,0.0238,0.2,0.3077,0.16,0.2308,0.7484
Beograd,299,Gemini,26.05,0.017,0.0,0.1538,0.0,0.1154,0.6652
Beograd,299,Claude,43.4167,0.0068,0.0,0.1333,0.0,0.0889,0.6812
Beograd,300,Ekstraktivna,7.3409,0.0966,0.2727,0.2368,0.0541,0.2105,0.6839
Beograd,300,Apstraktivna,14.6818,0.0568,0.2727,1.0,1.0,1.0,1.0
Beograd,300,ChatGPT,14.0435,0.0341,0.1739,0.1538,0.04,0.1538,0.7082
Beograd,300,Gemini,21.5333,0.017,0.2667,0.1429,0.0,0.1429,0.7067
Beograd,300,Claude,24.8462,0.0227,0.1538,0.1951,0.0513,0.1463,0.6724
Beograd,301,Ekstraktivna,7.5,0.0696,0.2105,0.2941,0.1212,0.2059,0.6909
Beograd,301,Apstraktivna,13.5714,0.019,0.0,1.0,1.0,1.0,1.0
Beograd,301,ChatGPT,14.25,0.0506,0.1,0.2083,0.087,0.2083,0.6911
Beograd,301,Gemini,21.9231,0.0063,0.0,0.2326,0.0488,0.186,0.7008
Beograd,301,Claude,21.9231,0.0063,0.0,0.15,0.0,0.1,0.6907
Beograd,302,Ekstraktivna,6.4894,0.0722,0.2553,0.2444,0.0455,0.1778,0.6895
Beograd,302,Apstraktivna,8.4722,0.0333,0.1111,1.0,1.0,1.0,1.0
Beograd,302,ChatGPT,19.0625,0.0278,0.0,0.1754,0.1091,0.1754,0.7293
Beograd,302,Gemini,19.0625,0.0056,0.0,0.2295,0.0,0.1311,0.7044
Beograd,302,Claude,19.0625,0.0278,0.0,0.0702,0.0,0.0702,0.687
Beograd,303,Ekstraktivna,6.0333,0.1633,0.4,0.2188,0.0645,0.1875,0.6918
Beograd,303,Apstraktivna,8.619,0.0714,0.381,1.0,1.0,1.0,1.0
Beograd,303,ChatGPT,13.9231,0.0714,0.4615,0.3556,0.1395,0.2667,0.7058
Beograd,303,Gemini,15.0833,0.051,0.0,0.3256,0.0976,0.2791,0.7234
Beograd,303,Claude,12.9286,0.0408,0.1429,0.1739,0.0,0.1304,0.6976
Beograd,304,Ekstraktivna,6.7027,0.1325,0.4865,0.0937,0.0323,0.0625,0.6658
Beograd,304,Apstraktivna,14.5882,0.0066,0.0,1.0,1.0,1.0,1.0
Beograd,304,ChatGPT,16.5333,0.0132,0.1333,0.1081,0.0,0.0541,0.7082
Beograd,304,Gemini,20.6667,0.0265,0.0,0.1111,0.0588,0.1111,0.6776
Beograd,304,Claude,20.6667,0.0,0.0,0.1714,0.0606,0.1714,0.7203
Beograd,305,Ekstraktivna,7.8696,0.0941,0.3478,0.1039,0.0267,0.1039,0.6432
Beograd,305,Apstraktivna,14.48,0.0248,0.08,1.0,1.0,1.0,1.0
Beograd,305,ChatGPT,20.1111,0.0347,0.4444,0.125,0.0435,0.125,0.7025
Beograd,305,Gemini,30.1667,0.0149,0.0,0.0976,0.0,0.0488,0.6806
Beograd,305,Claude,24.1333,0.0149,0.0,0.186,0.0488,0.186,0.6797
Beograd,306,Ekstraktivna,6.7361,0.0657,0.3889,0.1228,0.0,0.0526,0.6043
Beograd,306,Apstraktivna,15.1562,0.0423,0.1875,1.0,1.0,1.0,1.0
Beograd,306,ChatGPT,44.0909,0.0282,0.0,0.2083,0.0,0.2083,0.6895
Beograd,306,Gemini,34.6429,0.0329,0.1429,0.1923,0.0,0.1538,0.6686
Beograd,306,Claude,32.3333,0.0235,0.1333,0.1481,0.0,0.1111,0.6756
Beograd,307,Ekstraktivna,9.0909,0.0707,0.303,0.1587,0.0328,0.0952,0.6571
Beograd,307,Apstraktivna,13.0435,0.0217,0.0,1.0,1.0,1.0,1.0
Beograd,307,ChatGPT,18.75,0.0326,0.25,0.2128,0.0444,0.1702,0.7133
Beograd,307,Gemini,25.0,0.0054,0.0,0.2,0.1053,0.2,0.6833
Beograd,307,Claude,27.2727,0.0054,0.0,0.2564,0.1622,0.2564,0.7374
Beograd,308,Ekstraktivna,15.1695,0.0426,0.2034,0.1348,0.046,0.1348,0.6647
Beograd,308,Apstraktivna,44.75,0.0064,0.1,1.0,1.0,1.0,1.0
Beograd,308,ChatGPT,59.6667,0.0064,0.1333,0.3902,0.1538,0.3415,0.752
Beograd,308,Gemini,81.3636,0.0043,0.0,0.1111,0.0,0.1111,0.7162
Beograd,308,Claude,68.8462,0.0107,0.1538,0.1081,0.0,0.1081,0.7189
Beograd,309,Ekstraktivna,9.7949,0.0727,0.3077,0.0833,0.0,0.0556,0.6616
Beograd,309,Apstraktivna,16.6087,0.0091,0.0,1.0,1.0,1.0,1.0
Beograd,309,ChatGPT,23.875,0.0227,0.25,0.0465,0.0,0.0465,0.6735
Beograd,309,Gemini,42.4444,0.0045,0.0,0.0,0.0,0.0,0.6716
Beograd,309,Claude,31.8333,0.0136,0.0,0.0,0.0,0.0,0.6763
Beograd,310,Ekstraktivna,5.8571,0.1656,0.2857,0.2,0.0227,0.1556,0.6756
Beograd,310,Apstraktivna,10.6296,0.0307,0.0,1.0,1.0,1.0,1.0
Beograd,310,ChatGPT,15.9444,0.0368,0.1111,0.3137,0.0,0.1961,0.7303
Beograd,310,Gemini,20.5,0.0123,0.0,0.2553,0.0444,0.1702,0.7053
Beograd,310,Claude,23.9167,0.0184,0.0,0.2667,0.093,0.1778,0.6749
Beograd,311,Ekstraktivna,9.7778,0.0773,0.3333,0.1311,0.0,0.0984,0.638
Beograd,311,Apstraktivna,20.7059,0.0103,0.0,1.0,1.0,1.0,1.0
Beograd,311,ChatGPT,29.3333,0.0206,0.0,0.2353,0.0,0.1765,0.669
Beograd,311,Gemini,44.0,0.0052,0.0,0.129,0.0,0.129,0.6538
Beograd,311,Claude,35.2,0.0,0.0,0.2941,0.0625,0.2353,0.7274
Beograd,312,Ekstraktivna,3.6774,0.1774,0.3226,0.0357,0.0,0.0357,0.6349
Beograd,312,Apstraktivna,6.0,0.0161,0.0,1.0,1.0,1.0,1.0
Beograd,312,ChatGPT,8.7692,0.0323,0.1538,0.2424,0.0,0.1818,0.7711
Beograd,312,Gemini,12.6667,0.0161,0.0,0.1379,0.0,0.1379,0.6661
Beograd,312,Claude,10.3636,0.0,0.0,0.1176,0.0,0.1176,0.7149
Beograd,313,Ekstraktivna,6.7667,0.136,0.4,0.0755,0.0392,0.0755,0.6985
Beograd,313,Apstraktivna,11.2778,0.024,0.1111,1.0,1.0,1.0,1.0
Beograd,313,ChatGPT,22.5556,0.032,0.4444,0.1379,0.0,0.1379,0.6924
Beograd,313,Gemini,22.5556,0.016,0.0,0.3448,0.1481,0.2759,0.7113
Beograd,313,Claude,15.6154,0.024,0.1538,0.1212,0.0645,0.1212,0.7249
Beograd,314,Ekstraktivna,19.0909,0.0442,0.0909,0.1778,0.0455,0.1333,0.6619
Beograd,314,Apstraktivna,31.1111,0.0209,0.0741,1.0,1.0,1.0,1.0
Beograd,314,ChatGPT,40.0,0.0209,0.1905,0.2462,0.0952,0.1231,0.6978
Beograd,314,Gemini,46.6667,0.0209,0.0,0.2373,0.0702,0.1695,0.7185
Beograd,314,Claude,64.6154,0.014,0.3077,0.1481,0.0385,0.1111,0.7081
Beograd,315,Ekstraktivna,5.6364,0.137,0.4545,0.0,0.0,0.0,0.6386
Beograd,315,Apstraktivna,9.5385,0.0,0.0,1.0,1.0,1.0,1.0
Beograd,315,ChatGPT,8.8571,0.0411,0.1429,0.1379,0.0741,0.1379,0.7148
Beograd,315,Gemini,12.4,0.0411,0.0,0.0,0.0,0.0,0.6552
Beograd,315,Claude,11.2727,0.0411,0.0,0.32,0.087,0.24,0.7272
Beograd,316,Ekstraktivna,17.4359,0.0457,0.3077,0.1493,0.0,0.1493,0.6564
Beograd,316,Apstraktivna,28.3333,0.0228,0.3333,1.0,1.0,1.0,1.0
Beograd,316,ChatGPT,45.3333,0.0254,0.2667,0.1905,0.05,0.1905,0.7025
Beograd,316,Gemini,48.5714,0.0152,0.2857,0.15,0.0,0.15,0.7066
Beograd,316,Claude,52.3077,0.0076,0.0,0.0,0.0,0.0,0.6523
Beograd,317,Ekstraktivna,2.9375,0.2759,0.375,0.1754,0.0727,0.1404,0.691
Beograd,317,Apstraktivna,7.8333,0.069,0.1667,1.0,1.0,1.0,1.0
Beograd,317,ChatGPT,7.2308,0.1034,0.1538,0.1176,0.0,0.0588,0.6945
Beograd,317,Gemini,13.4286,0.0,0.0,0.1538,0.0,0.0769,0.7166
Beograd,317,Claude,9.4,0.0517,0.0,0.2857,0.0769,0.2143,0.7233
Beograd,318,Ekstraktivna,12.0222,0.0684,0.2667,0.1299,0.0,0.1039,0.6612
Beograd,318,Apstraktivna,25.7619,0.0152,0.0952,1.0,1.0,1.0,1.0
Beograd,318,ChatGPT,36.0667,0.0076,0.0,0.1951,0.0,0.1951,0.7112
Beograd,318,Gemini,41.6154,0.0114,0.0,0.1538,0.0,0.1026,0.6785
Beograd,318,Claude,38.6429,0.0076,0.0,0.3415,0.0513,0.2439,0.7397
Beograd,319,Ekstraktivna,5.303,0.1239,0.3636,0.0667,0.0,0.0667,0.6608
Beograd,319,Apstraktivna,9.7222,0.0177,0.1111,1.0,1.0,1.0,1.0
Beograd,319,ChatGPT,13.4615,0.0265,0.0,0.0526,0.0,0.0526,0.6803
Beograd,319,Gemini,13.4615,0.0,0.0,0.1667,0.0,0.1111,0.7117
Beograd,319,Claude,15.9091,0.0265,0.1818,0.2941,0.0625,0.2353,0.761
Beograd,320,Ekstraktivna,5.0345,0.1923,0.4828,0.1277,0.0,0.0851,0.6923
Beograd,320,Apstraktivna,12.1667,0.0128,0.0,1.0,1.0,1.0,1.0
Beograd,320,ChatGPT,9.7333,0.0897,0.2667,0.2,0.0,0.1333,0.6842
Beograd,320,Gemini,18.25,0.0641,0.25,0.2609,0.1905,0.2609,0.8071
Beograd,320,Claude,13.2727,0.0513,0.1818,0.2308,0.0,0.2308,0.7366
Beograd,321,Ekstraktivna,11.5952,0.0672,0.3333,0.1765,0.0,0.1765,0.6604
Beograd,321,Apstraktivna,24.35,0.0119,0.1,1.0,1.0,1.0,1.0
Beograd,321,ChatGPT,32.4667,0.0158,0.0,0.3243,0.0,0.2162,0.7298
Beograd,321,Gemini,34.7857,0.0119,0.0,0.1667,0.0,0.1111,0.6878
Beograd,321,Claude,32.4667,0.0079,0.0,0.1111,0.0,0.1111,0.7085
Beograd,322,Ekstraktivna,18.6923,0.0336,0.0,0.25,0.0698,0.2273,0.7047
Beograd,322,Apstraktivna,37.3846,0.0079,0.2308,1.0,1.0,1.0,1.0
Beograd,322,ChatGPT,74.7692,0.0099,0.0,0.2857,0.1,0.2857,0.7601
Beograd,322,Gemini,88.3636,0.0059,0.0,0.0952,0.0,0.0952,0.6696
Beograd,322,Claude,88.3636,0.0059,0.1818,0.1463,0.0,0.1463,0.7457
Beograd,323,Ekstraktivna,8.5758,0.0892,0.2424,0.0769,0.0,0.0769,0.663
Beograd,323,Apstraktivna,18.8667,0.0191,0.0,1.0,1.0,1.0,1.0
Beograd,323,ChatGPT,21.7692,0.0064,0.0,0.25,0.0,0.125,0.7288
Beograd,323,Gemini,31.4444,0.0127,0.0,0.0,0.0,0.0,0.656
Beograd,323,Claude,25.7273,0.0127,0.0,0.2143,0.0,0.1429,0.7192
Beograd,324,Ekstraktivna,6.8485,0.1473,0.4848,0.1493,0.0,0.0896,0.6252
Beograd,324,Apstraktivna,11.3,0.031,0.0,1.0,1.0,1.0,1.0
Beograd,324,ChatGPT,18.8333,0.0388,0.1667,0.186,0.0,0.1395,0.6954
Beograd,324,Gemini,25.1111,0.0078,0.0,0.3158,0.1667,0.2632,0.6824
Beograd,324,Claude,22.6,0.0,0.0,0.1951,0.0,0.1951,0.6894
Beograd,325,Ekstraktivna,22.2432,0.0319,0.3243,0.1667,0.0,0.1111,0.6525
Beograd,325,Apstraktivna,31.6538,0.0116,0.0769,1.0,1.0,1.0,1.0
Beograd,325,ChatGPT,58.7857,0.0145,0.1429,0.1905,0.0,0.1429,0.6613
Beograd,325,Gemini,74.8182,0.0058,0.0,0.3077,0.1081,0.1538,0.6699
Beograd,325,Claude,74.8182,0.0029,0.0,0.1026,0.0,0.0513,0.6814
Beograd,326,Ekstraktivna,10.0455,0.0792,0.2273,0.0714,0.0,0.0714,0.675
Beograd,326,Apstraktivna,15.2414,0.0226,0.1379,1.0,1.0,1.0,1.0
Beograd,326,ChatGPT,40.1818,0.0113,0.1818,0.186,0.0,0.1395,0.6755
Beograd,326,Gemini,40.1818,0.0151,0.1818,0.0465,0.0,0.0465,0.663
Beograd,326,Claude,49.1111,0.0075,0.2222,0.0909,0.0,0.0909,0.6576
Beograd,327,Ekstraktivna,13.0167,0.0645,0.5,0.2174,0.0222,0.1304,0.6961
Beograd,327,Apstraktivna,30.0385,0.0248,0.3077,1.0,1.0,1.0,1.0
Beograd,327,ChatGPT,65.0833,0.0149,0.3333,0.3256,0.1463,0.3256,0.7157
Beograd,327,Gemini,55.7857,0.0124,0.2857,0.1778,0.0,0.1778,0.6777
Beograd,327,Claude,65.0833,0.005,0.0,0.0976,0.0,0.0976,0.6773
Beograd,328,Ekstraktivna,4.0851,0.1356,0.2979,0.2892,0.0,0.1205,0.6642
Beograd,328,Apstraktivna,9.6,0.0508,0.2,1.0,1.0,1.0,1.0
Beograd,328,ChatGPT,19.2,0.0169,0.0,0.1463,0.0,0.0976,0.6678
Beograd,328,Gemini,21.3333,0.0169,0.0,0.1026,0.0,0.0513,0.6558
Beograd,328,Claude,17.4545,0.0169,0.1818,0.0976,0.0,0.0488,0.6765
Beograd,329,Ekstraktivna,9.6053,0.0885,0.2632,0.169,0.029,0.0845,0.6734
Beograd,329,Apstraktivna,15.2083,0.0156,0.1667,1.0,1.0,1.0,1.0
Beograd,329,ChatGPT,36.5,0.0052,0.0,0.2286,0.0606,0.1714,0.685
Beograd,329,Gemini,33.1818,0.0,0.0,0.2162,0.0571,0.2162,0.6941
Beograd,329,Claude,40.5556,0.0,0.0,0.1176,0.0,0.0588,0.6434
Beograd,330,Ekstraktivna,9.2381,0.0962,0.3333,0.1463,0.0,0.0976,0.6652
Beograd,330,Apstraktivna,12.9333,0.0481,0.2667,1.0,1.0,1.0,1.0
Beograd,330,ChatGPT,35.2727,0.0288,0.1818,0.0851,0.0,0.0851,0.6583
Beograd,330,Gemini,29.8462,0.024,0.4615,0.0816,0.0,0.0816,0.6805
Beograd,330,Claude,27.7143,0.0144,0.1429,0.2083,0.0,0.125,0.6563
Beograd,331,Ekstraktivna,7.6786,0.0947,0.3214,0.2308,0.0392,0.1538,0.7046
Beograd,331,Apstraktivna,13.0303,0.0412,0.1212,1.0,1.0,1.0,1.0
Beograd,331,ChatGPT,30.7143,0.0206,0.1429,0.3704,0.1923,0.3333,0.6998
Beograd,331,Gemini,35.8333,0.0247,0.1667,0.1111,0.0385,0.1111,0.6827
Beograd,331,Claude,33.0769,0.0247,0.3077,0.2143,0.0,0.1429,0.6773
Beograd,332,Ekstraktivna,8.1,0.1017,0.25,0.1739,0.0299,0.1159,0.6595
Beograd,332,Apstraktivna,13.5,0.0282,0.0,1.0,1.0,1.0,1.0
Beograd,332,ChatGPT,24.9231,0.0226,0.0,0.0526,0.0,0.0526,0.6835
Beograd,332,Gemini,29.4545,0.0226,0.1818,0.0,0.0,0.0,0.6542
Beograd,332,Claude,29.4545,0.0113,0.0,0.0541,0.0,0.0541,0.6781
Beograd,333,Ekstraktivna,5.5581,0.1126,0.2326,0.2469,0.0506,0.1975,0.6859
Beograd,333,Apstraktivna,9.1923,0.0265,0.1538,1.0,1.0,1.0,1.0
Beograd,333,ChatGPT,19.9167,0.0199,0.0,0.2222,0.0465,0.1333,0.6644
Beograd,333,Gemini,23.9,0.0199,0.0,0.3556,0.1395,0.1778,0.7214
Beograd,333,Claude,18.3846,0.0199,0.0,0.2667,0.0465,0.1778,0.6846
Beograd,334,Ekstraktivna,4.6613,0.0708,0.4839,0.1765,0.06,0.1373,0.6819
Beograd,334,Apstraktivna,9.0312,0.0531,0.1875,1.0,1.0,1.0,1.0
Beograd,334,ChatGPT,17.0,0.0265,0.3529,0.3704,0.1538,0.2963,0.774
Beograd,334,Gemini,28.9,0.0088,0.0,0.1702,0.0,0.1277,0.7137
Beograd,334,Claude,36.125,0.0177,0.25,0.1778,0.093,0.1778,0.7021
Beograd,335,Ekstraktivna,5.3235,0.1444,0.3529,0.0364,0.0,0.0364,0.6395
Beograd,335,Apstraktivna,12.9286,0.0333,0.1429,1.0,1.0,1.0,1.0
Beograd,335,ChatGPT,18.1,0.0222,0.0,0.25,0.0667,0.25,0.7504
Beograd,335,Gemini,25.8571,0.0222,0.0,0.0833,0.0,0.0833,0.6743
Beograd,335,Claude,22.625,0.0111,0.0,0.0741,0.0,0.0741,0.6917
Beograd,336,Ekstraktivna,5.6981,0.0431,0.4151,0.1707,0.025,0.122,0.6716
Beograd,336,Apstraktivna,13.1304,0.0172,0.0,1.0,1.0,1.0,1.0
Beograd,336,ChatGPT,20.1333,0.0172,0.4,0.1905,0.05,0.1905,0.6985
Beograd,336,Gemini,30.2,0.0172,0.2,0.1026,0.0541,0.1026,0.7141
Beograd,336,Claude,37.75,0.0,0.0,0.1765,0.0,0.1176,0.7293
Beograd,337,Ekstraktivna,6.0278,0.1393,0.3333,0.2222,0.0286,0.2222,0.6733
Beograd,337,Apstraktivna,9.8636,0.0246,0.0,1.0,1.0,1.0,1.0
Beograd,337,ChatGPT,19.7273,0.0246,0.0,0.2564,0.1081,0.2564,0.7228
Beograd,337,Gemini,27.125,0.0082,0.0,0.1714,0.0606,0.1714,0.6547
Beograd,337,Claude,24.1111,0.0328,0.0,0.2162,0.0571,0.1622,0.711
Beograd,338,Ekstraktivna,8.7333,0.0616,0.2222,0.1772,0.0519,0.1519,0.6789
Beograd,338,Apstraktivna,14.0357,0.0332,0.2143,1.0,1.0,1.0,1.0
Beograd,338,ChatGPT,28.0714,0.0142,0.1429,0.1304,0.0455,0.1304,0.7172
Beograd,338,Gemini,39.3,0.019,0.0,0.0952,0.0,0.0476,0.6606
Beograd,338,Claude,32.75,0.0237,0.1667,0.2553,0.1333,0.2128,0.7261
Beograd,339,Ekstraktivna,21.2083,0.0443,0.3333,0.1842,0.0811,0.1316,0.6943
Beograd,339,Apstraktivna,46.2727,0.0111,0.1818,1.0,1.0,1.0,1.0
Beograd,339,ChatGPT,84.8333,0.0092,0.1667,0.0556,0.0,0.0556,0.6778
Beograd,339,Gemini,113.1111,0.0037,0.0,0.0625,0.0,0.0625,0.662
Beograd,339,Claude,92.5455,0.0037,0.0,0.0588,0.0,0.0588,0.6465
